"Time (s)","Distance (cm)"
4.201354168E-2,5.000000000E0
9.116182333E1,0.000000000E0
9.138653908E1,5.000000000E0
9.678505246E1,0.000000000E0
1.008517076E2,5.000000000E0
1.742980771E2,0.000000000E0
1.750505456E2,5.000000000E0
1.791756236E2,0.000000000E0
1.794024453E2,5.000000000E0
1.799711891E2,0.000000000E0
1.800923404E2,5.000000000E0
2.987486237E2,0.000000000E0
4.190808954E2,5.000000000E0
4.191065202E2,0.000000000E0
4.196665823E2,5.000000000E0
4.197005306E2,0.000000000E0
4.197933366E2,5.000000000E0
4.200663950E2,0.000000000E0
4.201779395E2,5.000000000E0
4.245494153E2,0.000000000E0
4.248844664E2,5.000000000E0
4.254002225E2,0.000000000E0
4.274002190E2,5.000000000E0
4.287598837E2,0.000000000E0
4.005836539E3,5.000000000E0
4.009197433E3,0.000000000E0
4.009317093E3,5.000000000E0
4.012331241E3,0.000000000E0
4.013490088E3,5.000000000E0
4.014605104E3,0.000000000E0
4.910681281E3,5.000000000E0
4.911439808E3,5.000000000E0